lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.6915680170059204,0.5842333436012268,0.5572147369384766,0.5609349012374878,0.5609349012374878,0.5611318349838257,0.5605809688568115,0,,,,,,,,,,,,,,,
,,1,,,,,,,,0,0.5778311491012573,0.6008288860321045,0.5699999928474426,0.5680272579193115,0.5708333253860474,0.5647332668304443,,,,,,,,,
0.001,0.001,2,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.6913114786148071,0.6053327322006226,0.5785917043685913,0.505008339881897,0.505008339881897,0.751258373260498,0.3443673849105835,1,,,,,,,,,,,,,,,
,,3,,,,,,,,1,0.5146527290344238,0.5472376942634583,0.5199999809265137,0.5194700956344604,0.5194077491760254,0.5192307829856873,,,,,,,,,
0.001,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.6915342807769775,0.6217513084411621,0.5927127003669739,0.5008347034454346,0.5008347034454346,0.750208854675293,0.33518558740615845,2,,,,,,,,,,,,,,,
,,5,,,,,,,,2,0.4505802392959595,0.507477879524231,0.4399999976158142,0.43457382917404175,0.4076792597770691,0.3923611044883728,,,,,,,,,
0.001,0.001,6,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6903443932533264,0.6348059177398682,0.6055766344070435,0.5041736364364624,0.5041736364364624,0.7510477900505066,0.34254151582717896,3,,,,,,,,,,,,,,,
,,7,,,,,,,,3,0.5112179517745972,0.489316463470459,0.5199999809265137,0.5272436141967773,0.53125,0.5073891878128052,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6896598935127258,0.6466021537780762,0.6180776953697205,0.5058430433273315,0.5058430433273315,0.7514693737030029,0.3461880087852478,4,,,,,,,,,,,,,,,
,,9,,,,,,,,4,0.5138055086135864,0.5499621629714966,0.5,0.4953981637954712,0.4941653907299042,0.4694397449493408,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.6914522647857666,0.6592122316360474,0.6299729943275452,0.5008347034454346,0.5008347034454346,0.750208854675293,0.33518558740615845,5,,,,,,,,,,,,,,,
,,11,,,,,,,,5,0.5395833253860474,0.6524475812911987,0.5899999737739563,0.5291666388511658,0.5454840660095215,0.5071523189544678,,,,,,,,,
0.001,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.6899302005767822,0.6700970530509949,0.6452914476394653,0.5016694664955139,0.5016694664955139,0.7504180669784546,0.3370325267314911,6,,,,,,,,,,,,,,,
,,13,,,,,,,,6,0.5872564911842346,0.5463854074478149,0.49000000953674316,0.5373376607894897,0.5939734578132629,0.4276736378669739,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6873763799667358,0.6802098751068115,0.6642862558364868,0.5091819763183594,0.5091819763183594,0.7138591408729553,0.35480964183807373,7,,,,,,,,,,,,,,,
,,15,,,,,,,,7,0.6964000463485718,0.7126258611679077,0.5699999928474426,0.5699999928474426,0.6787538528442383,0.492864727973938,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,17,0.6857258081436157,0.6829231381416321,0.6727832555770874,0.5183639526367188,0.5183639526367188,0.6880422830581665,0.3780643939971924,8,,,,,,,,,,,,,,,
,,17,,,,,,,,8,0.5592532753944397,0.6141085624694824,0.6200000047683716,0.573051929473877,0.7000000476837158,0.5180111527442932,,,,,,,,,
0.001,0.001,18,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6814512014389038,0.6830471754074097,0.6773532032966614,0.5367279052734375,0.5367279052734375,0.6408267021179199,0.4317077696323395,9,,,,,,,,,,,,,,,
,,19,,,,,,,,9,0.6178471446037292,0.6125723123550415,0.5299999713897705,0.5384153723716736,0.6304347515106201,0.4350282549858093,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6755279898643494,0.6838846206665039,0.6810102462768555,0.6110183596611023,0.6110183596611023,0.6358276605606079,0.5924063324928284,10,,,,,,,,,,,,,,,
,,21,,,,,,,,10,0.7090836763381958,0.7400691509246826,0.5699999928474426,0.5752301216125488,0.6030701994895935,0.5413333177566528,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6740209460258484,0.6865310072898865,0.6853607892990112,0.5859766006469727,0.5859766006469727,0.6428720355033875,0.5402005910873413,11,,,,,,,,,,,,,,,
